desertionNo,happenDt,happenPlace,kindFullNm,upKindCd,upKindNm,kindCd,kindNm,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile1,popfile7,popfile8,processState,sexCd,neuterYn,specialMark,careRegNo,careNm,careTel,careAddr,careOwnerNm,orgNm,updTm,endReason,rfidCd,etcBigo,popfile2,adptnTitle,adptnSDate,adptnEDate,adptnConditionLimitTxt,adptnTxt,adptnImg,srvcTitle,srvcSDate,srvcEDate,srvcConditionLimitTxt,srvcTxt,popfile3,popfile4,popfile5,popfile6,vaccinationChk,healthChk,sfeSoci,sfeHealth
447522202300278,20231231,동명면남원로,[개] 말티즈,417000,개,000072,말티즈,흰색,2023(년생),3(Kg),경북-칠곡-2024-00001,20240102,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021201357.jpg,,,종료(자연사),M,N,학명리큰길에서 기성리방향오르막길에구조양쪽귀꼬리핑크색염색,347522201400001,칠곡유기동물보호센터,054-973-5710,경상북도 칠곡군 석적읍 포망로 341 (석적읍) ,윤광남,경상북도 칠곡군,2024-01-11 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
444453202400001,20231231,고북면 용암휴암길 81-15,[개] 믹스견,417000,개,000114,믹스견,흰색,2024(년생),3.00(Kg),충남-서산-2024-00001,20240102,20240109,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021401752[1].jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202402011902719.jpg,,종료(안락사),F,U,"입소 시 3개월령 추정, 경계",344453202100003,서산시 동물보호센터,041-660-2040,충청남도 서산시 인지면 무학재1길 99  ,서산시농업기술센터,충청남도 서산시,2024-02-01 00:00:00.0,전염성 질환으로 인해 회복가능성이 낮고 보호*관리가 어려울 것으로 판단 ,,,,,,,,,,,,,,,,,,,,,,
444451202301132,20231231,보령시 청라면 넙티로 684번지 주변,[개] 믹스견,417000,개,000114,믹스견,호피색,2021(년생),20(Kg),충남-보령-2024-00001,20240102,20240112,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401020901513.jpg,,,종료(안락사),M,N,청라면 넙티로 684주변을 배회하여 구조,344451201300001,보령시유기동물보호소,010-5427-7210,충청남도 보령시 대천방조제로 322 (대천동) 보령시시설관리공단 내 좌측 생태공원2,장경무,충청남도 보령시,2024-02-05 00:00:00.0,인도적차원의 안락사,,,,,,,,,,,,,,,,,,,,,,
441560202301997,20231231,소흘읍 이동교로 33 인근,[개] 믹스견,417000,개,000114,믹스견,흰/연갈,2021(년생),12.3(Kg),경기-포천-2024-00006,20240102,20240112,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021401794.jpg,,,종료(반환),F,U,분홍바탕 파란줄목줄+케이블타이로 묶임.입가 상처/흉터.겁많음/방어적입질.구토.코로나 양성.,341560201000002,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37  ,김철훈,경기도 포천시,2024-01-09 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
441560202301996,20231231,일동면 화동로 1019 일동초등학교 내,[기타축종] 머스코비 오리,429900,기타,000117,기타축종,흰/빨/검,2024(년생),3.3(Kg),경기-포천-2024-00005,20240102,20240112,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021301737.jpg,,,종료(안락사),Q,U,날개쪽 털 약간 빠짐. 공격적. 연령/성별추정 어려움. 외관양호.,341560201000002,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37  ,김철훈,경기도 포천시,2024-01-31 00:00:00.0,보호기간종료.,,,,,,,,,,,,,,,,,,,,,,
441414202300984,20231231,전곡읍 한탄강 관광지 일대,[개] 믹스견,417000,개,000114,믹스견,검/흰,2024(년생),4.3(Kg),경기-연천-2024-00001,20240102,20240112,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021401673.jpg,,,종료(안락사),F,U,귀접힘. 코검정. 겁많음/방어적입질. 꼬리단미안됨. 털때탐.,341414201300001,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 ,김철훈,경기도 연천군,2024-01-22 00:00:00.0,보호기간종료.,,,,,,,,,,,,,,,,,,,,,,
441405202304897,20231231,처인구 모현읍 대대로 25번길 7,[개] 믹스견,417000,개,000114,믹스견,흰색,2021(년생),8(Kg),경기-용인-2024-00001,20240102,20240112,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/20240102110178.jpg,,,종료(반환),M,N,활발하고 귀여운 아이,341405201800001,용인시 동물보호센터,031-324-3463,경기도 용인시 처인구 중부대로 1074-1 (삼가동) 용인시 동물보호센터,용인시장,경기도 용인시,2024-01-11 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
441386202301845,20231231,내동 19-13,[개] 믹스견,417000,개,000114,믹스견,흰,2022(년생),25(Kg),경기-부천-2024-00001,20240102,20240112,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021001122.jpg,,,종료(반환),M,N,지붕 위에서 발견. 경계심 매우 심함.,341386201500001,부천시수의사회,032-323-4999,"경기도 부천시 원미구 중동로 244 (중동, 상록센트럴타워) 109호 110호 정샘동물병원(중동)",최기현,경기도 부천시,2024-01-04 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
428353202301335,20231231,남동구 만수동 만수지구대,[개] 말티즈,417000,개,000072,말티즈,흰색,2022(년생),2.5(Kg),인천-남동-2024-00001,20240102,20240112,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401011001247.jpg,,,종료(반환),F,U,"순함,분홍색옷착용",328353200900001,인천광역시수의사회,032-515-7567,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",박정현,인천광역시 남동구,2024-02-13 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
428351202301065,20231231,미추홀구 구청케이지,[개] 시바,417000,개,000100,시바,갈/흰,2020(년생),5(Kg),인천-미추홀-2024-00004,20240102,20240112,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401011001710.jpg,,,종료(안락사),F,U,순함,328351200900001,경동동물병원,032-515-7567,인천광역시 중구 개항로 68 (경동) ,이광태,인천광역시 미추홀구,2024-04-09 00:00:00.0,보호기간초과,,,,,,,,,,,,,,,,,,,,,,
426335202300734,20231231,서2동 주민센터,[고양이] 믹스묘,422400,고양이,000212,믹스묘,갈색,2020(년생),4.6(Kg),부산-금정-2024-00003,20240102,20240112,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021901332.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021901345.jpg,,종료(자연사),M,N,"사고 의심, 기력 매우 저하, 갈색",326335201700001,동부동물보호협회,051-701-7599,부산광역시 해운대구 송정2로13번길 46 (송정동) ,장영철,부산광역시 금정구,2024-01-09 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
411318202300600,20231231,도신로 160 인근,[고양이] 한국 고양이,422400,고양이,000200,한국 고양이,갈/흰,2021(년생),7(Kg),서울-영등포-2024-00001,20240102,20240112,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021401752.jpg,,,종료(자연사),M,Y,우후지부종. 전신에 혈흔 묻어있음. 하악골절. 혀절단. 구강출혈. 기력없음.,311318201200001,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 ,김철훈,서울특별시 영등포구,2024-01-02 00:00:00.0,하악골절.혀절단.구강출혈.기력없음.,,,,,,,,,,,,,,,,,,,,,,
411307202300622,20231231,성북동 북악스카이웨이 산책로,[개] 믹스견,417000,개,000114,믹스견,갈,2014(년생),6.3(Kg),서울-성북-2024-00001,20240102,20240112,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021401937.jpg,,,종료(안락사),F,U,왼귀쫑긋/오른귀접힘.코검정.치석심함.노령.겁있음/만지는것가능.외이염.,311307200900001,한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,김철훈,서울특별시 성북구,2024-01-24 00:00:00.0,보호기간종료.,,,,,,,,,,,,,,,,,,,,,,
446480202301867,20231231,시청부근,[개] 말티즈,417000,개,000072,말티즈,흰색,2020(년생),3.2(Kg),전남-목포-2024-00002,20240101,20240111,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401011901356.jpg,,,종료(반환),M,N,"심야에 배회, 분리불안보임, 앞쪽으로 혀나옴",346480201000001,목포시유기동물보호소,010-9678-9966,전라남도 무안군 삼향읍 석매길 36  ,김성진,전라남도 목포시,2024-02-20 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
428356202302147,20231231,정서진 구조대,[개] 말티즈,417000,개,000072,말티즈,흰색,2020(년생),2(Kg),인천-서구-2024-00007,20240101,20240111,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311412861.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401121001375.jpg,,종료(입양),F,U,"목줄없음,온순함",328356201600005,우리동물병원,032-566-0075,인천광역시 서구 서곶로 349 (연희동) 우리동물병원,배세진,인천광역시 서구,2024-01-12 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
428356202302146,20231231,서구청 당직실,[개] 라브라도 리트리버,417000,개,000069,라브라도 리트리버,크림색,2018(년생),28(Kg),인천-서구-2024-00006,20240101,20240111,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311412946.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021601142.jpg,,종료(반환),M,N,"목줄없음,온순함.소유주 검색이 안됨",328356201600005,우리동물병원,032-566-0075,인천광역시 서구 서곶로 349 (연희동) 우리동물병원,배세진,인천광역시 서구,2024-01-02 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
427343202301040,20231231,서구청 당직실,[고양이] 한국 고양이,422400,고양이,000200,한국 고양이,치즈태비,2023(년생),3(Kg),대구-서구-2024-00001,20240101,20240111,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401011101892.jpg,,,종료(방사),F,N,7개월령 추정. 후지보행장애.,327343201500004,대구수의사회(아이펫),053-573-1175,대구광역시 서구 서대구로 64 (평리동) ,채형규,대구광역시 서구,2024-01-16 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
448532202300794,20231231,남양동(CU남양우방점 ~ 웅천방향),[개] 믹스견,417000,개,000114,믹스견,갈색+흰색,2021(년생),17(Kg),경남-창원3-2023-00412,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311412307.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202401021701213.jpg,,종료(반환),M,N,"초록색 목줄+리드줄 착용, 겁 많음",348532200900001,진해유기동물보호소,055-225-5701,경상남도 창원시 진해구 웅천로 218 (성내동) 도시농업과 부지 내,창원시장,경상남도 창원시 진해구,2024-01-02 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
447513202301381,20231231,중방동,[고양이] 한국 고양이,422400,고양이,000200,한국 고양이,삼색,2023(년생),1.06(Kg),경북-경산-2023-00763,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312312312388.jpg,,,종료(자연사),F,N,"생후 5개월령 추정, 흉부 좌상, 서혜부 외상, 패혈증 추정",347513201800003,경산시유기동물보호소,010-2536-0955,경상북도 경산시 용성면 사양지길 95 (용성면) ,박병용,경상북도 경산시,2024-01-01 00:00:00.0,패혈증(12.25.),,,,,,,,,,,,,,,,,,,,,,
447513202301380,20231231,옥산동,[고양이] 한국 고양이,422400,고양이,000200,한국 고양이,치즈태비,2023(년생),0.8(Kg),경북-경산-2023-00762,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312312312472[1].jpg,,,종료(자연사),M,N,"탈수가 매우 심하여 기립불능, 매우 말라있음",347513201800003,경산시유기동물보호소,010-2536-0955,경상북도 경산시 용성면 사양지길 95 (용성면) ,박병용,경상북도 경산시,2024-01-01 00:00:00.0,"탈수, 장염(12.29.)",,,,,,,,,,,,,,,,,,,,,,
447511202301198,20231231,죽전1길  죽전동  625~5  일대,[개] 믹스견,417000,개,000114,믹스견,황색,2021(년생),29.99(Kg),경북-상주-2023-00381,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311212154.jpg,,,종료(자연사),M,N,매우순함.쇠로된 목걸이착용,347511202000001,상주시 동물보호센터,010-9270-1191,경상북도 상주시 사벌국면 상풍로 124  ,이승훈,경상북도 상주시,2024-01-22 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
447502202302274,20231231,경상북도 포항시 남구 대송면 건포산업로 3214번지 140-5,[개] 비글,417000,개,000013,비글,황백,2023(년생),2.2(Kg),경북-포항-2023-01246,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311712267.jpg,,,종료(입양),F,N,"비글믹스 3개월추정, 촉촉한 핑크색 젖소코가 여리여리함을 적극 어필함, 뒷발에 상처있음",347502201600001,(사)영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,김태연,경상북도 포항시,2024-01-13 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
447502202302273,20231231,경상북도 포항시 북구 양덕동1825,[개] 믹스견,417000,개,000114,믹스견,아이보리,2023(60일미만)(년생),1.5(Kg),경북-포항-2023-01245,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311712760.jpg,,,종료(입양),F,N,"2개월추정, 보송보송한 눈송이 같은 공주님,100장찍어서 1장 겨우 성공한 소심 쫄보 ",347502201600001,(사)영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,김태연,경상북도 포항시,2024-03-12 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
447502202302272,20231231,경상북도 포항시 북구 양덕동1825,[개] 믹스견,417000,개,000114,믹스견,아이보리,2023(60일미만)(년생),1.8(Kg),경북-포항-2023-01244,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311712939.jpg,,,종료(안락사),M,N,"2개월추정, 복실한 털을 보유한 티컵 왕자님, 당당한 포즈를 보니 커서 프로 모델견의 자질이 보임",347502201600001,(사)영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,김태연,경상북도 포항시,2024-01-13 00:00:00.0,"식욕절폐, 기력없음, 설사, 구토",,,,,,,,,,,,,,,,,,,,,,
447502202302271,20231231,경상북도 포항시 북구 양덕동1825,[개] 믹스견,417000,개,000114,믹스견,아이보리,2024(60일미만)(년생),2.2(Kg),경북-포항-2023-01243,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/05/202406071706319.jpg,,,보호중,F,N,"2개월추정, 귀에 황색털, 아련해보이지만 실상은 목욕후 졸린거임, 꼬리끝 피부병 약간",347502201600001,(사)영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,김태연,경상북도 포항시,2024-06-07 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
447502202302270,20231231,경상북도 포항시 북구 양덕동1825,[개] 믹스견,417000,개,000114,믹스견,아이보리,2024(년생),4(Kg),경북-포항-2023-01242,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2024/02/202402201402532.jpg,,,종료(입양),F,Y,"240422수정-6개월추정,피부병치료,중성화,접종완료, 남매중 제일 작고 소듕함, 사회성만랩",347502201600001,(사)영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,김태연,경상북도 포항시,2024-05-15 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
447502202302269,20231231,경상북도 포항시 북구 양덕동1825,[개] 믹스견,417000,개,000114,믹스견,황백,2024(년생),5(Kg),경북-포항-2023-01241,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311612869.jpg,,,종료(안락사),F,Y,"240422수정-6개월추정,피부병치료,중성화,접종완료, 너무너무 순하고 대견사회성 좋음",347502201600001,(사)영일동물플러스,054-262-8295,경상북도 포항시 북구 흥해읍 덕장길 224 (흥해읍) ,김태연,경상북도 포항시,2024-10-15 00:00:00.0,공격성,,,,,,,,,,,,,,,,,,,,,,
446483202301931,20231231,나주시 산포면 산제리 진흥원앞,[개] 믹스견,417000,개,000114,믹스견,흰색,2023(년생),3.5(Kg),전남-나주-2023-01584,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311812205.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311812632.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311812934.jpg,종료(안락사),F,N,생후3개월정도보임 발바리 ,346483202100001,나주유기동물보호센터,010-2331-7377,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,조왕애,전라남도 나주시,2024-02-06 00:00:00.0,「동물보호법」제46조제1항 및 동법 시행규칙 제28조제1항,,,,,,,,,,,,,,,,,,,,,,
446483202301930,20231231,나주시 금천면 촌곡길151-8,[개] 믹스견,417000,개,000114,믹스견,검갈,2023(60일미만)(년생),0.9(Kg),전남-나주-2023-01583,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311712525[1].jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311712834.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311712215.jpg,종료(안락사),M,N,생후50일정도보임 콘테이너아래 9마리 분만해기름  포획구조,346483202100001,나주유기동물보호센터,010-2331-7377,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,조왕애,전라남도 나주시,2024-02-06 00:00:00.0,「동물보호법」제46조제1항 및 동법 시행규칙 제28조제1항,,,,,,,,,,,,,,,,,,,,,,
446483202301929,20231231,나주시 금천면 촌곡길151-8,[개] 믹스견,417000,개,000114,믹스견,검갈,2023(60일미만)(년생),0.9(Kg),전남-나주-2023-01582,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311712989.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311712769.jpg,,종료(자연사),F,N,생후50일정도보임,346483202100001,나주유기동물보호센터,010-2331-7377,전라남도 나주시 산포면 내기3길 71-43 [*미고시] ,조왕애,전라남도 나주시,2024-01-23 00:00:00.0,장염설사로인하여폐사,,,,,,,,,,,,,,,,,,,,,,
445464202304010,20231231,모래내 훈민정음 어린이집,[개] 믹스견,417000,개,000114,믹스견,갈색,2023(60일미만)(년생),8.1(Kg),전북-전주-2023-01871,20231231,20240109,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311612134.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311612627.jpg,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/202312311612868.jpg,종료(입양),M,N,"순함, 파란색 노란색 목걸이 착용",345464201700001,링크늘푸른동물병원,063-281-0075,전라북도 전주시 완산구 서원로 225 (중화산동2가) ,이상훈,전북특별자치도 전주시,2024-11-21 10:57:11.0,,,,,,,,,,,,,,,,,,,,,,,
443571202303367,20231231,율량동 부근 ,[개] 요크셔 테리어,417000,개,000113,요크셔 테리어,"갈, 회",2012(년생),3(Kg),충북-청주-2023-01251,20231231,20240110,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2023/11/20240111140118.jpeg,,,종료(반환),F,U,"인수제 인수 동물, 미용완료, 순한 성격, 치아가 많지 않음",343571201600001,반려동물보호센터,043-201-2298,충청북도 청주시 흥덕구 강내면 서부로 411-23  청주시 반려동물 보호센터,청주시청,충청북도 청주시,2024-05-17 00:00:00.0,,,,,,,,,,,,,,,,,,,,,,,
